question,intent,role,entities,category,expected_response
i need a transfer document,certificate_request,alumni,certificate_type=Transfer Certificate,General,"You can request a Bonafide Certificate, Transfer Certificate, Migration Certificate, Conduct Certificate, Provisional Certificate, a Marksheet or another document from the Requests page, stating the purpose and an urgency of Normal, Urgent or Emergency. Each request gets a unique reference number."
ok and my total sessions,attendance_check,student,,Attendance,"I can show your overall attendance percentage, calculated across every session recorded for you (Late is counted as present). The college requires a minimum of 75% per subject. Full details are on the Attendance page of your student portal."
which subject examination is on Thursday,exam_schedule,student,day=Thursday,Exams,"I can give you the published exam schedule for your semester — the theory start and end dates, and the date, subject code and session for each paper. Only published schedules are visible. The Exam page has the full table plus the instructions."
"one more thing, faculty analytics dashboard",faculty_analytics,faculty,,General,"The faculty analytics view summarises your classes — attendance trends, mark distributions and how your students are performing across the subjects you handle."
what document do i need for od,od_request,student,leave_type=On Duty (OD) – Event,General,"On Duty is applied for as a leave type — either On Duty (OD) – Event or On Duty (OD) – Training — from the OD page, with dates, a reason and a supporting document. Approved OD is recorded against your leave record."
account settings,settings_help,student,,General,The Settings page is where you change your password and manage your account preferences while signed in.
what is the grade point average cutoff for Cognizant,placement_eligibility,student,company=Cognizant,Placements,"Recruiter eligibility is checked against your CGPA, attendance percentage and backlog count. I can tell you which companies you currently qualify for and, for the ones you don't, exactly which criterion falls short."
show my tuition fees,fees_balance,student,,Fees,"I can show your fee record for the semester — the component-wise breakdown, the total, how much is paid, the outstanding balance, the due date and any late fine. The full statement is on the Fees page."
"one more thing, reject a document request",admin_process_requests,admin,,General,"Document requests come in as Submitted and you move them through Under Review, Processing, Ready for Collection and Completed, or Reject them with remarks. Each has a unique reference number and the student is notified of the change."
reset my login pwd,password_reset,student,,General,"There is no self-service password reset in the portal. If you are locked out, contact the college Admin Office and they will reset it for you. If you are already signed in, you can change your password yourself from the Settings page."
does the library open on saturday,library_hours,visitor,day=Saturday;office=Library,General,The library is open Monday to Friday from 8:00 AM to 6:00 PM and on Saturday from 9:00 AM to 4:00 PM. It is closed on Sundays and holidays.
"hello, add remarks to a request",admin_process_requests,admin,,General,"Document requests come in as Submitted and you move them through Under Review, Processing, Ready for Collection and Completed, or Reject them with remarks. Each has a unique reference number and the student is notified of the change."
faculty contact number,faculty_directory,parent,,Faculty,"I can look up faculty by name or subject and give you their designation, department, the subjects they teach, their email and office location."
share reference matreial,faculty_materials_upload,faculty,,General,"You can upload study materials — notes, question banks or reference files — against a subject, department, semester and section, and your students can then download them from their Coursework page."
may i pay in cash,fees_payment,parent,month=May;payment_mode=Cash,Fees,"You record a payment from the Fees page by entering the amount, the mode (Online, DD, Cash or NEFT) and the transaction reference. That creates an entry in your payment history which the Accounts Office then verifies. The portal records payments — it does not process them through a payment gateway."
who should i approach as hod,faculty_hod,student,,Faculty,"I can identify the Head of Department for your department — or for any department you name — with their designation, email and office location."
is thhere any lab today,timetable_today,student,,General,"I can show today's class schedule for your department, semester and section from the published timetable, including the period slots and subjects. Open the Timetable page for the day view."
bulk marks upload,faculty_enter_marks,faculty,,Marks,You enter internal marks (out of 40) and external marks (out of 60) for your assigned subjects; the grade and grade point are computed automatically. Marks stay hidden from students until you publish them.
why was my leave rejecetd,leave_status,student,,General,"Every leave application is Pending until it is approved or rejected, and the approver can add remarks. I can tell you the current status of your applications; the list is on the Leave page."
will i be allowed to write the exam with this attendance,attendance_shortage,student,,Attendance,"I compare your attendance against the 75% minimum and flag any subject you have fallen short in. Below 75% is high risk, 75-85% is medium and above 85% is low risk. If you are short, the Attendance page shows how many sessions you need to recover, and you should raise it with your class advisor."
faculty directory,faculty_directory,student,,Faculty,"I can look up faculty by name or subject and give you their designation, department, the subjects they teach, their email and office location."
how to update fee payment details,fees_payment,student,,Fees,"You record a payment from the Fees page by entering the amount, the mode (Online, DD, Cash or NEFT) and the transaction reference. That creates an entry in your payment history which the Accounts Office then verifies. The portal records payments — it does not process them through a payment gateway."
edit my info,profile_update,faculty,,General,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
is that out of 10,cgpa_query,student,,Marks,"I calculate your CGPA as the credit-weighted average of your grade points across all recorded subjects, on the Anna University 10-point scale (O=10, A+=9, A=8, B+=7, B=6, RA=0). Your CGPA and semester-wise GPA are on the CGPA page."
cgpa for semester 6,cgpa_query,student,semester=6,Marks,"I calculate your CGPA as the credit-weighted average of your grade points across all recorded subjects, on the Anna University 10-point scale (O=10, A+=9, A=8, B+=7, B=6, RA=0). Your CGPA and semester-wise GPA are on the CGPA page."
where do i see assignment submissions,faculty_assignments_manage,faculty,,General,"You can create assignments with a title, subject, due date and maximum marks, view the submissions from your students, download what they attached, and grade each submission with marks and remarks."
tell me my engagement score,performance_summary,student,,Placements,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
how do i get my provisional certificat after passing out,alumni_records,alumni,certificate_type=Provisional Certificate,General,"There is no separate alumni login — the portal serves current students, faculty and staff. For a Provisional Certificate, a Transfer Certificate or a duplicate marksheet after graduation, contact the Admin Office through the Contact page and they will process it for you."
can you check my attendance,attendance_check,student,,Attendance,"I can show your overall attendance percentage, calculated across every session recorded for you (Late is counted as present). The college requires a minimum of 75% per subject. Full details are on the Attendance page of your student portal."
which days do i have labs,timetable_weekly,student,,General,"I can show your full published weekly timetable for your department, semester and section, with the period slots and the subject in each. Draft timetables are not visible until an admin publishes them."
btw what cgpa do i need for Zoho,placement_eligibility,student,company=Zoho,Placements,"Recruiter eligibility is checked against your CGPA, attendance percentage and backlog count. I can tell you which companies you currently qualify for and, for the ones you don't, exactly which criterion falls short."
"also, deadline for fees",fees_due_date,student,,Fees,Your fee record carries a due date and a late fine amount. If payment goes past the due date the late fine applies. I can tell you the due date on your record; it is also shown on the Fees page.
upload the studnet handbook,admin_knowledge_manage,admin,,General,"You manage the knowledge base from the admin portal — adding regulations, handbooks, academic rules, placement policy, faculty info and FAQs under categories including Admissions, Attendance, Marks, Exams, Fees, Placements, Faculty, Hostel, Transport and Scholarships. Published documents become answerable by the assistant."
give me important dates,academic_calendar,faculty,,General,"The academic calendar lists holidays, exam windows, deadlines, semester boundaries and events with their dates. I can tell you what is coming up; the full calendar is on the Calendar page."
"also, skills required for Microsoft",placement_skills,student,company=Microsoft,Placements,"I compare the skills on your profile against the skills recruiters screen for, grouped as Programming, CS Fundamentals, Web & Cloud, and Aptitude & Soft skills, and show your coverage plus the gaps to close."
how many times can i renew a book,library_renew,student,,General,You can request a renewal for a borrowed book from the Library page. The system records the request and the librarian confirms it within 24 hours.
shaare notes with my students,faculty_materials_upload,faculty,,General,"You can upload study materials — notes, question banks or reference files — against a subject, department, semester and section, and your students can then download them from their Coursework page."
can outsders use the library,visitor_campus_info,visitor,office=Library,General,"I mainly serve signed-in students, faculty and staff. For general enquiries — visiting the campus, meeting a department or reaching an office — you can use the Contact page to message the Admin Office, and the library is open Monday to Friday 8:00 AM to 6:00 PM and Saturday 9:00 AM to 4:00 PM."
who approves my registeration,registration_approval,student,,General,"When you register, a student account is created with a Pending status and no login is issued yet. An administrator has to approve it before you can sign in. You'll be able to log in as soon as the approval goes through."
i graudated last year and need my marksheet,alumni_records,alumni,certificate_type=Marksheet,General,"There is no separate alumni login — the portal serves current students, faculty and staff. For a Provisional Certificate, a Transfer Certificate or a duplicate marksheet after graduation, contact the Admin Office through the Contact page and they will process it for you."
Monday timetable,timetable_weekly,student,day=Monday,General,"I can show your full published weekly timetable for your department, semester and section, with the period slots and the subject in each. Draft timetables are not visible until an admin publishes them."
i want a tc,certificate_request,alumni,certificate_type=Transfer Certificate,General,"You can request a Bonafide Certificate, Transfer Certificate, Migration Certificate, Conduct Certificate, Provisional Certificate, a Marksheet or another document from the Requests page, stating the purpose and an urgency of Normal, Urgent or Emergency. Each request gets a unique reference number."
"hello, show my pending requests",request_status,student,,General,"Your document request moves through Submitted, Under Review, Processing, Ready for Collection and then Completed — or Rejected, with remarks. Track it by its reference number on the Status page."
my account was rejexted,account_status,faculty,,General,"An account can be pending approval, approved, rejected with a reason, or deactivated. If your account has been rejected or deactivated you'll see the reason at login — contact the Admin Office to have it reviewed."
otpions,bot_capabilities,faculty,,General,"I'm the Campus HelpDesk assistant. I can answer questions about attendance, marks, CGPA and backlogs, timetable, exam schedules and hall tickets, fees and payments, leave and OD, certificate requests, library books and hours, notices, events, faculty and HOD contacts, your profile, placement readiness and eligibility, and the college knowledge base. I answer from your own records, so sign in first."
what is my attendence in Digital Electronics,attendance_subject_wise,student,subject=Digital Electronics,Attendance,"I can break your attendance down subject by subject and show which subject is lowest, since the 75% rule applies per subject. The subject-wise table is on the Attendance page."
"hello, minimum attendance for placement drives",placement_eligibility,student,,Placements,"Recruiter eligibility is checked against your CGPA, attendance percentage and backlog count. I can tell you which companies you currently qualify for and, for the ones you don't, exactly which criterion falls short."
when can i collect my certificate,request_status,alumni,,General,"Your document request moves through Submitted, Under Review, Processing, Ready for Collection and then Completed — or Rejected, with remarks. Track it by its reference number on the Status page."
provisional certificate application,certificate_request,student,certificate_type=Provisional Certificate,General,"You can request a Bonafide Certificate, Transfer Certificate, Migration Certificate, Conduct Certificate, Provisional Certificate, a Marksheet or another document from the Requests page, stating the purpose and an urgency of Normal, Urgent or Emergency. Each request gets a unique reference number."
service companies list,placement_companies,student,,Placements,"The placement catalogue covers recruiters including TCS, Wipro, Capgemini, Infosys, Cognizant, Accenture, Zoho, Freshworks, Amazon and Microsoft, with the role, sector, CTC and eligibility gates for each. I can also rank the best matches for your profile."
counselling process,admission_enquiry,applicant,,Admissions,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
parents login credentials,parent_ward_progress,parent,,General,"The portal does not have a separate parent login — your ward's attendance, marks, CGPA and fee status are visible when they sign in to their own student account. Your contact details are held on their record. For anything you'd like to raise directly, use the Contact page to reach the Admin Office, the Accounts Office or the HOD, who reply within 1-2 working days."
btw do i need to learn Data Structures,placement_skills,student,skill=Data Structures;subject=Data Structures,Placements,"I compare the skills on your profile against the skills recruiters screen for, grouped as Programming, CS Fundamentals, Web & Cloud, and Aptitude & Soft skills, and show your coverage plus the gaps to close."
display latest notices,notices_latest,student,,General,"I can show the latest published notices, with pinned ones first. Each notice carries a category, an AI-generated summary, key dates and action items. The full list is on the Notices page."
lab practical schedule,exam_practicals,student,,Exams,"The published exam record lists practical exams separately with the date, subject, lab and time. You'll find the practicals table alongside the theory schedule on the Exam page."
"hello, list my transactions with dates",fees_history,parent,,Fees,"Your fee record keeps a payment history — each entry has the date, description, amount, mode, transaction reference and whether it has been verified. You can view the full history on the Fees page."
can i get a passwrd reset link,password_reset,student,,General,"There is no self-service password reset in the portal. If you are locked out, contact the college Admin Office and they will reset it for you. If you are already signed in, you can change your password yourself from the Settings page."
"good morning, show all student fees",admin_verify_fees,admin,,Fees,"Payments students record show up unverified. From the admin fee view you check each against the bank record and mark it verified, which updates the student's balance. You can also see every student's fee status."
my assignment grade,coursework_assignments,student,,General,"I can list the assignments your faculty have posted for your department, semester and section — with the title, subject, due date and maximum marks — and tell you whether you have submitted. You submit text or a file attachment from the Coursework page; faculty then grade it and add remarks."
what is 2 plus 2,fallback_unsupported,student,,General,"I couldn't match that to anything the portal handles. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts, your profile and placements. For anything else, the Contact page will reach the right office and you'll get a reply within 1-2 working days."
fee pqyment log,fees_history,parent,,Fees,"Your fee record keeps a payment history — each entry has the date, description, amount, mode, transaction reference and whether it has been verified. You can view the full history on the Fees page."
"please tell me, that helps",thanks_goodbye,student,,General,"You're welcome! Come back any time you need help with attendance, fees, exams, certificates or anything else on the portal."
has my homework been graded,coursework_assignments,student,,General,"I can list the assignments your faculty have posted for your department, semester and section — with the title, subject, due date and maximum marks — and tell you whether you have submitted. You submit text or a file attachment from the Coursework page; faculty then grade it and add remarks."
stuent leave approval,faculty_approve_leave,faculty,,General,"Leave and OD applications from students appear in your faculty portal, where you can approve or reject them and add remarks. Your decision and name are recorded against the application."
how do i add hostel information,admin_knowledge_manage,admin,,General,"You manage the knowledge base from the admin portal — adding regulations, handbooks, academic rules, placement policy, faculty info and FAQs under categories including Admissions, Attendance, Marks, Exams, Fees, Placements, Faculty, Hostel, Transport and Scholarships. Published documents become answerable by the assistant."
is the hod available,faculty_hod,parent,,Faculty,"I can identify the Head of Department for your department — or for any department you name — with their designation, email and office location."
where can i sign in,login_help,faculty,,General,"Everyone signs in at the single login page using their registered email or ID and password — the portal detects whether you are a student, faculty member or administrator and takes you to the right dashboard. After 10 failed attempts the account is locked for 15 minutes."
chamge the status of a request,admin_process_requests,admin,,General,"Document requests come in as Submitted and you move them through Under Review, Processing, Ready for Collection and Completed, or Reject them with remarks. Each has a unique reference number and the student is notified of the change."
sorry to bother you but where do i sign in,login_help,admin,,General,"Everyone signs in at the single login page using their registered email or ID and password — the portal detects whether you are a student, faculty member or administrator and takes you to the right dashboard. After 10 failed attempts the account is locked for 15 minutes."
what is the express route for login,out_of_scope_technical,student,,General,"I'm the Campus HelpDesk assistant, so I only help with college services — attendance, marks, fees, exams, certificates, library, notices and the like. I can't discuss how the portal is built or maintained. If something on the portal isn't working, report it to the Admin Office through the Contact page."
"hi there, publish timetable for semester 1",admin_manage_timetable,admin,semester=1,General,"You build a timetable per department, semester, section and academic year, with the period slots and the subject in each. It starts as a draft, can be checked for clashes, then published so students and faculty see it, and archived when superseded."
scholarship application deadline,scholarship_info,applicant,,Scholarships,"Scholarship information is available from the college knowledge base documents. There is no scholarship application module in the portal — I can share what the uploaded scholarship documents say, and applications are handled by the Admin Office. Note that a Bonafide Certificate for a scholarship application can be requested from the Requests page."
and if i'm already logged in,password_reset,admin,,General,"There is no self-service password reset in the portal. If you are locked out, contact the college Admin Office and they will reset it for you. If you are already signed in, you can change your password yourself from the Settings page."
"i wanted to ask, contact the admin office",contact_department,applicant,office=Admin Office,General,"You can send a message to the Admin Office, Examination Cell, Accounts Office, Student Welfare, Library, HOD – IT Department or HOD – CSE Department from the Contact page. You'll receive a response within 1-2 working days."
"can you help me, search for a book",library_search,faculty,,General,"I can search the library catalogue by title, author or category and tell you whether a copy is Available, Borrowed or Reserved, along with the number of copies. Browse the full catalogue on the Library page."
"also, where is my certificate",request_status,student,,General,"Your document request moves through Submitted, Under Review, Processing, Ready for Collection and then Completed — or Rejected, with remarks. Track it by its reference number on the Status page."
show me library books,library_search,student,office=Library,General,"I can search the library catalogue by title, author or category and tell you whether a copy is Available, Borrowed or Reserved, along with the number of copies. Browse the full catalogue on the Library page."
update of my leave for last week,leave_status,student,,General,"Every leave application is Pending until it is approved or rejected, and the approver can add remarks. I can tell you the current status of your applications; the list is on the Leave page."
identfiy weak students,faculty_analytics,faculty,,General,"The faculty analytics view summarises your classes — attendance trends, mark distributions and how your students are performing across the subjects you handle."
i need more time with this book,library_renew,faculty,,General,You can request a renewal for a borrowed book from the Library page. The system records the request and the librarian confirms it within 24 hours.
would you do anything else,fallback_unsupported,student,,General,"I couldn't match that to anything the portal handles. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts, your profile and placements. For anything else, the Contact page will reach the right office and you'll get a reply within 1-2 working days."
"hi, i need more time with this book",library_renew,student,,General,You can request a renewal for a borrowed book from the Library page. The system records the request and the librarian confirms it within 24 hours.
am i eligible with my current grade point average,placement_eligibility,student,,Placements,"Recruiter eligibility is checked against your CGPA, attendance percentage and backlog count. I can tell you which companies you currently qualify for and, for the ones you don't, exactly which criterion falls short."
how many tests do i have,exam_schedule,student,,Exams,"I can give you the published exam schedule for your semester — the theory start and end dates, and the date, subject code and session for each paper. Only published schedules are visible. The Exam page has the full table plus the instructions."
"hi there, what is my student id",profile_view,faculty,,General,"Your profile holds your name, student ID, email, department, year, semester, section, phone, photo and your parent/guardian details. You can view it all on the Profile page."
publish a knowleddge article,admin_knowledge_manage,admin,,General,"You manage the knowledge base from the admin portal — adding regulations, handbooks, academic rules, placement policy, faculty info and FAQs under categories including Admissions, Attendance, Marks, Exams, Fees, Placements, Faculty, Hostel, Transport and Scholarships. Published documents become answerable by the assistant."
who do i contact for fees issues,contact_department,student,,General,"You can send a message to the Admin Office, Examination Cell, Accounts Office, Student Welfare, Library, HOD – IT Department or HOD – CSE Department from the Contact page. You'll receive a response within 1-2 working days."
my password expired,password_reset,admin,,General,"There is no self-service password reset in the portal. If you are locked out, contact the college Admin Office and they will reset it for you. If you are already signed in, you can change your password yourself from the Settings page."
fees deadline,fees_due_date,student,,Fees,Your fee record carries a due date and a late fine amount. If payment goes past the due date the late fine applies. I can tell you the due date on your record; it is also shown on the Fees page.
show my fees transactions,fees_history,student,,Fees,"Your fee record keeps a payment history — each entry has the date, description, amount, mode, transaction reference and whether it has been verified. You can view the full history on the Fees page."
"also, admit card",exam_hall_ticket,student,,Exams,"The published exam record carries a hall ticket availability date. Once that date arrives, the hall ticket becomes available on the Exam page. Hall tickets are usually withheld if there is a pending fee balance or an attendance shortage, so clear those first."
"hi, hey assistant",greeting,student,,General,"Hello! I'm Campus HelpDesk, your college assistant. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts and placements. What would you like to know?"
how many days leave am i able to take,leave_apply,student,,General,"You apply for leave from the Leave page by choosing the type — Medical Leave, Personal Leave, Emergency Leave or Family Function — with the from and to dates, a reason, and an optional supporting document. The to date cannot be earlier than the from date. It is submitted as Pending for approval."
"sir, change a period in the timetable",admin_manage_timetable,admin,,General,"You build a timetable per department, semester, section and academic year, with the period slots and the subject in each. It starts as a draft, can be checked for clashes, then published so students and faculty see it, and archived when superseded."
which department should i chhoose,departments_list,parent,,General,"The college has departments including Information Technology, Computer Science and Engineering, Artificial Intelligence and Machine Learning, Artificial Intelligence and Data Science, Bioinformatics, Electronics and Communication, Electrical and Electronics, Mechanical and Civil Engineering."
can i chnage the theme,settings_help,student,,General,The Settings page is where you change your password and manage your account preferences while signed in.
"please tell me, recent circulars",notices_latest,student,,General,"I can show the latest published notices, with pinned ones first. Each notice carries a category, an AI-generated summary, key dates and action items. The full list is on the Notices page."
"please tell me, mark attendance for today's period",faculty_mark_attendance,faculty,,Attendance,"From the faculty portal you can mark attendance for a class you are assigned to — choosing the subject, date and section, and setting each student to Present, Absent or Late. You can also do it in bulk for the whole class."
"also, how prepared am i for campus placement",placement_readiness,student,,Placements,"Your placement readiness score weights Academics (CGPA) 40%, Technical Skills 25%, Attendance 20% and Projects 15%, and comes with a risk level. I can show the breakdown and what to strengthen first."
how many hours have i attended,attendance_check,student,,Attendance,"I can show your overall attendance percentage, calculated across every session recorded for you (Late is counted as present). The college requires a minimum of 75% per subject. Full details are on the Attendance page of your student portal."
appreciate it,thanks_goodbye,student,department=IT,General,"You're welcome! Come back any time you need help with attendance, fees, exams, certificates or anything else on the portal."
i am attending an inter college event may i get od,od_request,student,leave_type=On Duty (OD) – Event;month=May,General,"On Duty is applied for as a leave type — either On Duty (OD) – Event or On Duty (OD) – Training — from the OD page, with dates, a reason and a supporting document. Approved OD is recorded against your leave record."
am i arrear free,backlog_query,student,grade=RA,Marks,"A subject with grade RA (grade point 0, total below 50) counts as a backlog. I can tell you how many backlogs you currently have and which subjects they are in — this also affects placement eligibility, since most recruiters allow zero or at most one backlog."
timings a notice,admin_publish_notice,admin,,General,"You create a notice with a title, content, category and audience. It can be saved as a draft, published, pinned to the top, given an expiry date, or archived. The summarizer generates a summary, key dates, action items and a priority for it."
so when exactly can i download it,exam_hall_ticket,student,department=IT,Exams,"The published exam record carries a hall ticket availability date. Once that date arrives, the hall ticket becomes available on the Exam page. Hall tickets are usually withheld if there is a pending fee balance or an attendance shortage, so clear those first."
"also, am i improving or declining",performance_summary,student,,Placements,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
display my assessment marks,marks_view,student,,Marks,"I can show your internal marks (out of 40), external marks (out of 60) and the total out of 100 for each subject, along with the grade. The pass mark is 50. Marks a faculty member has entered stay hidden until they are published. See the Results page for the full mark sheet."
is my request still under review,request_status,alumni,,General,"Your document request moves through Submitted, Under Review, Processing, Ready for Collection and then Completed — or Rejected, with remarks. Track it by its reference number on the Status page."
how good is my acaemic standing,performance_summary,student,,Placements,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
why is my hall ticket not avaiable,exam_hall_ticket,student,,Exams,"The published exam record carries a hall ticket availability date. Once that date arrives, the hall ticket becomes available on the Exam page. Hall tickets are usually withheld if there is a pending fee balance or an attendance shortage, so clear those first."
"also, reject a leave application",faculty_approve_leave,faculty,,General,"Leave and OD applications from students appear in your faculty portal, where you can approve or reject them and add remarks. Your decision and name are recorded against the application."
"good morning, why is my hall ticket not available",exam_hall_ticket,student,,Exams,"The published exam record carries a hall ticket availability date. Once that date arrives, the hall ticket becomes available on the Exam page. Hall tickets are usually withheld if there is a pending fee balance or an attendance shortage, so clear those first."
any update on that request,request_status,student,,General,"Your document request moves through Submitted, Under Review, Processing, Ready for Collection and then Completed — or Rejected, with remarks. Track it by its reference number on the Status page."
study materials for sem 3,coursework_materials,student,semester=3,General,"Faculty upload study materials — notes, question banks and reference files — for your subject, department and semester. I can list what is available and you can download them from the Coursework page."
how do i reew a book,library_renew,student,,General,You can request a renewal for a borrowed book from the Library page. The system records the request and the librarian confirms it within 24 hours.
is the libary open today,library_hours,visitor,,General,The library is open Monday to Friday from 8:00 AM to 6:00 PM and on Saturday from 9:00 AM to 4:00 PM. It is closed on Sundays and holidays.
correct my date of birrth,profile_update,student,,General,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
what is the date of the next event,events_list,faculty,,General,"I can list upcoming campus events with their category — Technical, Cultural, Sports, Workshop or Seminar — plus the date, time, venue, organizer and how many seats are left. The Events page has the full list."
show my class schedule,timetable_weekly,student,,General,"I can show your full published weekly timetable for your department, semester and section, with the period slots and the subject in each. Draft timetables are not visible until an admin publishes them."
wihch department should i choose,departments_list,student,,General,"The college has departments including Information Technology, Computer Science and Engineering, Artificial Intelligence and Machine Learning, Artificial Intelligence and Data Science, Bioinformatics, Electronics and Communication, Electrical and Electronics, Mechanical and Civil Engineering."
"one more thing, library open or closed now",library_hours,student,office=Library,General,The library is open Monday to Friday from 8:00 AM to 6:00 PM and on Saturday from 9:00 AM to 4:00 PM. It is closed on Sundays and holidays.
change the status of a request,admin_process_requests,admin,,General,"Document requests come in as Submitted and you move them through Under Review, Processing, Ready for Collection and Completed, or Reject them with remarks. Each has a unique reference number and the student is notified of the change."
is there a hostel,hostel_info,applicant,,Hostel,"Hostel information is available only through the college knowledge base documents. There is no hostel booking or room allocation module in the portal — I can share what the uploaded hostel documents say, and for anything else you should contact the Admin Office or Student Welfare."
show me recent announcements,notices_latest,student,,General,"I can show the latest published notices, with pinned ones first. Each notice carries a category, an AI-generated summary, key dates and action items. The full list is on the Notices page."
"actually, marks not visible to students",faculty_enter_marks,faculty,,Marks,You enter internal marks (out of 40) and external marks (out of 60) for your assigned subjects; the grade and grade point are computed automatically. Marks stay hidden from students until you publish them.
what does my attendance record look like this term,attendance_check,student,,Attendance,"I can show your overall attendance percentage, calculated across every session recorded for you (Late is counted as present). The college requires a minimum of 75% per subject. Full details are on the Attendance page of your student portal."
"good morning, i want to apply for cse",admission_enquiry,applicant,department=CSE,Admissions,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
where do i find lecture slides,coursework_materials,student,,General,"Faculty upload study materials — notes, question banks and reference files — for your subject, department and semester. I can list what is available and you can download them from the Coursework page."
sign up for the portal,registration_approval,student,,General,"When you register, a student account is created with a Pending status and no login is issued yet. An administrator has to approve it before you can sign in. You'll be able to log in as soon as the approval goes through."
show today's schedual,timetable_today,student,,General,"I can show today's class schedule for your department, semester and section from the published timetable, including the period slots and subjects. Open the Timetable page for the day view."
"hello, i need some help",greeting,student,,General,"Hello! I'm Campus HelpDesk, your college assistant. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts and placements. What would you like to know?"
registation approvals pending,admin_approve_students,admin,,General,"New self-registrations arrive as Pending in the admin portal. You can approve them, which lets the student log in, or reject them with a reason. Every decision is recorded with your name and the timestamp."
hall ticket for semester 2,exam_hall_ticket,student,semester=2,Exams,"The published exam record carries a hall ticket availability date. Once that date arrives, the hall ticket becomes available on the Exam page. Hall tickets are usually withheld if there is a pending fee balance or an attendance shortage, so clear those first."
update my persnal information,profile_update,faculty,,General,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
what cgpa do i need then,placement_eligibility,student,,Placements,"Recruiter eligibility is checked against your CGPA, attendance percentage and backlog count. I can tell you which companies you currently qualify for and, for the ones you don't, exactly which criterion falls short."
"also, reference material",coursework_materials,student,,General,"Faculty upload study materials — notes, question banks and reference files — for your subject, department and semester. I can list what is available and you can download them from the Coursework page."
od approval,od_request,student,leave_type=On Duty (OD) – Event,General,"On Duty is applied for as a leave type — either On Duty (OD) – Event or On Duty (OD) – Training — from the OD page, with dates, a reason and a supporting document. Approved OD is recorded against your leave record."
btw is my account still valid,account_status,faculty,,General,"An account can be pending approval, approved, rejected with a reason, or deactivated. If your account has been rejected or deactivated you'll see the reason at login — contact the Admin Office to have it reviewed."
renew befoe due date,library_renew,student,,General,You can request a renewal for a borrowed book from the Library page. The system records the request and the librarian confirms it within 24 hours.
is the library open during holidays,library_hours,faculty,office=Library,General,The library is open Monday to Friday from 8:00 AM to 6:00 PM and on Saturday from 9:00 AM to 4:00 PM. It is closed on Sundays and holidays.
timings a paper on a date,admin_publish_exam,admin,,Exams,"You create an exam record for a semester and academic year with theory dates, the paper-by-paper schedule, practicals, a hall ticket availability date and instructions. Students see it only after you publish it, and you can archive it later."
show me today's peirods,timetable_today,student,,General,"I can show today's class schedule for your department, semester and section from the published timetable, including the period slots and subjects. Open the Timetable page for the day view."
is there a handbook i can read,knowledge_base_query,faculty,,General,"I can search the college knowledge base — regulations, handbooks, academic rules, placement policy and FAQs — and answer with the relevant section, citing the document it came from."
"hello, find me the syllabus material",coursework_materials,student,,General,"Faculty upload study materials — notes, question banks and reference files — for your subject, department and semester. I can list what is available and you can download them from the Coursework page."
payment pending verification,fees_verification,parent,,Fees,"Every payment you record starts as unverified. The Accounts Office checks it against the bank record and marks it verified, after which your balance reflects it. If a payment has been sitting unverified, contact the Accounts Office through the Contact page."
"also, can i mark attendance for a past date",faculty_mark_attendance,faculty,,Attendance,"From the faculty portal you can mark attendance for a class you are assigned to — choosing the subject, date and section, and setting each student to Present, Absent or Late. You can also do it in bulk for the whole class."
"hi there, is there a practical for Data Structures",exam_practicals,student,skill=Data Structures;subject=Data Structures,Exams,"The published exam record lists practical exams separately with the date, subject, lab and time. You'll find the practicals table alongside the theory schedule on the Exam page."
teack admin actions,admin_audit_log,admin,,General,"Administrative actions are written to a tamper-evident audit log with the actor, action, entity, a contextual snapshot, a timestamp and a hash chain. You can review it from the admin portal."
where do i upload student marks,faculty_enter_marks,faculty,,Marks,You enter internal marks (out of 40) and external marks (out of 60) for your assigned subjects; the grade and grade point are computed automatically. Marks stay hidden from students until you publish them.
