question,intent,role,entities,expected_response
"hey, when does the semester end",academic_calendar,parent,,"The academic calendar lists holidays, exam windows, deadlines, semester boundaries and events with their dates. I can tell you what is coming up; the full calendar is on the Calendar page."
"can you help me, how do i monitor my child's studies",parent_ward_progress,parent,,"The portal does not have a separate parent login — your ward's attendance, marks, CGPA and fee status are visible when they sign in to their own student account. Your contact details are held on their record. For anything you'd like to raise directly, use the Contact page to reach the Admin Office, the Accounts Office or the HOD, who reply within 1-2 working days."
"please tell me, should i learn cloud",placement_skills,student,,"I compare the skills on your profile against the skills recruiters screen for, grouped as Programming, CS Fundamentals, Web & Cloud, and Aptitude & Soft skills, and show your coverage plus the gaps to close."
what percent attendence do i have right now,attendance_check,student,,"I can show your overall attendance percentage, calculated across every session recorded for you (Late is counted as present). The college requires a minimum of 75% per subject. Full details are on the Attendance page of your student portal."
"just checking, what is my success score",performance_summary,student,,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
"sir, reject a registration",admin_approve_students,admin,,"New self-registrations arrive as Pending in the admin portal. You can approve them, which lets the student log in, or reject them with a reason. Every decision is recorded with your name and the timestamp."
"good morning, can i write the exam without hall ticket",exam_hall_ticket,student,,"The published exam record carries a hall ticket availability date. Once that date arrives, the hall ticket becomes available on the Exam page. Hall tickets are usually withheld if there is a pending fee balance or an attendance shortage, so clear those first."
what section am i in,profile_view,student,,"Your profile holds your name, student ID, email, department, year, semester, section, phone, photo and your parent/guardian details. You can view it all on the Profile page."
"hi there, how do i update my parent's contact",profile_update,faculty,,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
"sir, give me my overall report",performance_summary,student,,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
settings page,settings_help,student,,The Settings page is where you change your password and manage your account preferences while signed in.
is anyone thee,greeting,parent,,"Hello! I'm Campus HelpDesk, your college assistant. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts and placements. What would you like to know?"
who edited the timetabke,admin_audit_log,admin,,"Administrative actions are written to a tamper-evident audit log with the actor, action, entity, a contextual snapshot, a timestamp and a hash chain. You can review it from the admin portal."
college phone number,visitor_campus_info,visitor,,"I mainly serve signed-in students, faculty and staff. For general enquiries — visiting the campus, meeting a department or reaching an office — you can use the Contact page to message the Admin Office, and the library is open Monday to Friday 8:00 AM to 6:00 PM and Saturday 9:00 AM to 4:00 PM."
how to process certificate requests,admin_process_requests,admin,,"Document requests come in as Submitted and you move them through Under Review, Processing, Ready for Collection and Completed, or Reject them with remarks. Each has a unique reference number and the student is notified of the change."
what about saturday,timetable_weekly,student,day=Saturday,"I can show your full published weekly timetable for your department, semester and section, with the period slots and the subject in each. Draft timetables are not visible until an admin publishes them."
"madam, overall assessment of my progress",performance_summary,student,,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
password reset,password_reset,student,,"There is no self-service password reset in the portal. If you are locked out, contact the college Admin Office and they will reset it for you. If you are already signed in, you can change your password yourself from the Settings page."
where is the hod cain,faculty_hod,student,,"I can identify the Head of Department for your department — or for any department you name — with their designation, email and office location."
reason for rejection,account_status,student,,"An account can be pending approval, approved, rejected with a reason, or deactivated. If your account has been rejected or deactivated you'll see the reason at login — contact the Admin Office to have it reviewed."
give me attendence for each subject,attendance_subject_wise,student,,"I can break your attendance down subject by subject and show which subject is lowest, since the 75% rule applies per subject. The subject-wise table is on the Attendance page."
when does the library open,library_hours,visitor,office=Library,The library is open Monday to Friday from 8:00 AM to 6:00 PM and on Saturday from 9:00 AM to 4:00 PM. It is closed on Sundays and holidays.
"hello, am i eligible for placements",placement_eligibility,student,,"Recruiter eligibility is checked against your CGPA, attendance percentage and backlog count. I can tell you which companies you currently qualify for and, for the ones you don't, exactly which criterion falls short."
may i renew online,library_renew,student,month=May;payment_mode=Online,You can request a renewal for a borrowed book from the Library page. The system records the request and the librarian confirms it within 24 hours.
"also, show me the performance report",faculty_analytics,faculty,,"The faculty analytics view summarises your classes — attendance trends, mark distributions and how your students are performing across the subjects you handle."
is that attendance figure up to date,attendance_check,student,,"I can show your overall attendance percentage, calculated across every session recorded for you (Late is counted as present). The college requires a minimum of 75% per subject. Full details are on the Attendance page of your student portal."
who is the head of department,faculty_hod,student,,"I can identify the Head of Department for your department — or for any department you name — with their designation, email and office location."
when will Computer Networks marks be published,results_status,student,subject=Computer Networks,"Results appear once a faculty member publishes the marks they entered; until then they stay hidden. If a subject is missing from your results page, the marks have not been published yet — check the Notices page for the result announcement or contact the Examination Cell."
delete an homework,faculty_assignments_manage,faculty,,"You can create assignments with a title, subject, due date and maximum marks, view the submissions from your students, download what they attached, and grade each submission with marks and remarks."
"hi, update guardian details",profile_update,faculty,,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
search library by autohr,library_search,faculty,office=Library,"I can search the library catalogue by title, author or category and tell you whether a copy is Available, Borrowed or Reserved, along with the number of copies. Browse the full catalogue on the Library page."
"please tell me, find books by an author",library_search,faculty,,"I can search the library catalogue by title, author or category and tell you whether a copy is Available, Borrowed or Reserved, along with the number of copies. Browse the full catalogue on the Library page."
most accessed documments,admin_analytics,admin,,"The admin analytics view covers portal usage and the assistant itself — query volume, intent distribution, match rate, response latency, peak usage hours, thumbs-up/down feedback and the most-accessed knowledge documents."
what role does Infosys offer,placement_companies,student,company=Infosys,"The placement catalogue covers recruiters including TCS, Wipro, Capgemini, Infosys, Cognizant, Accenture, Zoho, Freshworks, Amazon and Microsoft, with the role, sector, CTC and eligibility gates for each. I can also rank the best matches for your profile."
logn page,login_help,student,,"Everyone signs in at the single login page using their registered email or ID and password — the portal detects whether you are a student, faculty member or administrator and takes you to the right dashboard. After 10 failed attempts the account is locked for 15 minutes."
i want to extebd my book due date,library_renew,faculty,,You can request a renewal for a borrowed book from the Library page. The system records the request and the librarian confirms it within 24 hours.
check the notice bard,notices_latest,parent,,"I can show the latest published notices, with pinned ones first. Each notice carries a category, an AI-generated summary, key dates and action items. The full list is on the Notices page."
may i mark attendance for another faculty's class,faculty_mark_attendance,faculty,month=May,"From the faculty portal you can mark attendance for a class you are assigned to — choosing the subject, date and section, and setting each student to Present, Absent or Late. You can also do it in bulk for the whole class."
add practical test dates,admin_publish_exam,admin,,"You create an exam record for a semester and academic year with theory dates, the paper-by-paper schedule, practicals, a hall ticket availability date and instructions. Students see it only after you publish it, and you can archive it later."
how many books do i have,library_borrowed,faculty,,"I can list the books you currently have on loan with their borrowed date, due date and status — Active, Returned or Overdue. Your loans are shown on the Library page."
how am i doing in Cloud Computing attendance,attendance_subject_wise,student,subject=Cloud Computing,"I can break your attendance down subject by subject and show which subject is lowest, since the 75% rule applies per subject. The subject-wise table is on the Attendance page."
btw is renewal automatic,library_renew,faculty,,You can request a renewal for a borrowed book from the Library page. The system records the request and the librarian confirms it within 24 hours.
bye,thanks_goodbye,student,,"You're welcome! Come back any time you need help with attendance, fees, exams, certificates or anything else on the portal."
and what about tomorrow,timetable_today,student,,"I can show today's class schedule for your department, semester and section from the published timetable, including the period slots and subjects. Open the Timetable page for the day view."
search notices for DBMS,notice_search,student,skill=DBMS;subject=DBMS,"Notices are categorised as exam, fee, general, urgent or holiday. I can find notices in a category or matching a topic, and give you the summary, key dates and action items from it."
book renewal confirmation,library_renew,faculty,,You can request a renewal for a borrowed book from the Library page. The system records the request and the librarian confirms it within 24 hours.
what does pending approval mean,registration_approval,student,,"When you register, a student account is created with a Pending status and no login is issued yet. An administrator has to approve it before you can sign in. You'll be able to log in as soon as the approval goes through."
when can i get my hall ticket,exam_hall_ticket,student,,"The published exam record carries a hall ticket availability date. Once that date arrives, the hall ticket becomes available on the Exam page. Hall tickets are usually withheld if there is a pending fee balance or an attendance shortage, so clear those first."
can my parent pay the fee,fees_payment,parent,,"You record a payment from the Fees page by entering the amount, the mode (Online, DD, Cash or NEFT) and the transaction reference. That creates an entry in your payment history which the Accounts Office then verifies. The portal records payments — it does not process them through a payment gateway."
what questions is it possible to ask,bot_capabilities,student,department=IT,"I'm the Campus HelpDesk assistant. I can answer questions about attendance, marks, CGPA and backlogs, timetable, exam schedules and hall tickets, fees and payments, leave and OD, certificate requests, library books and hours, notices, events, faculty and HOD contacts, your profile, placement readiness and eligibility, and the college knowledge base. I answer from your own records, so sign in first."
"hello, payment pending verification",fees_verification,parent,,"Every payment you record starts as unverified. The Accounts Office checks it against the bank record and marks it verified, after which your balance reflects it. If a payment has been sitting unverified, contact the Accounts Office through the Contact page."
sorry to bother you but what is dragging my score down,performance_summary,student,,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
how do i udate my parent's contact,profile_update,faculty,,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
"excuse me, enter external marks",faculty_enter_marks,faculty,,You enter internal marks (out of 40) and external marks (out of 60) for your assigned subjects; the grade and grade point are computed automatically. Marks stay hidden from students until you publish them.
"hello, my academic health",performance_summary,student,,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
exam timetable,exam_schedule,student,,"I can give you the published exam schedule for your semester — the theory start and end dates, and the date, subject code and session for each paper. Only published schedules are visible. The Exam page has the full table plus the instructions."
has my assignment been graded,coursework_assignments,student,,"I can list the assignments your faculty have posted for your department, semester and section — with the title, subject, due date and maximum marks — and tell you whether you have submitted. You submit text or a file attachment from the Coursework page; faculty then grade it and add remarks."
show my subject wise attendance,attendance_subject_wise,student,,"I can break your attendance down subject by subject and show which subject is lowest, since the 75% rule applies per subject. The subject-wise table is on the Attendance page."
how do i categorize my material,faculty_materials_upload,faculty,,"You can upload study materials — notes, question banks or reference files — against a subject, department, semester and section, and your students can then download them from their Coursework page."
peak usaage hours,admin_analytics,admin,,"The admin analytics view covers portal usage and the assistant itself — query volume, intent distribution, match rate, response latency, peak usage hours, thumbs-up/down feedback and the most-accessed knowledge documents."
what is the purpose field for,certificate_request,alumni,,"You can request a Bonafide Certificate, Transfer Certificate, Migration Certificate, Conduct Certificate, Provisional Certificate, a Marksheet or another document from the Requests page, stating the purpose and an urgency of Normal, Urgent or Emergency. Each request gets a unique reference number."
"hello, hi, are you available",greeting,student,,"Hello! I'm Campus HelpDesk, your college assistant. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts and placements. What would you like to know?"
what about last semester's fees,fees_balance,student,,"I can show your fee record for the semester — the component-wise breakdown, the total, how much is paid, the outstanding balance, the due date and any late fine. The full statement is on the Fees page."
who can reset my password,password_reset,student,,"There is no self-service password reset in the portal. If you are locked out, contact the college Admin Office and they will reset it for you. If you are already signed in, you can change your password yourself from the Settings page."
"actually, how many subjects do i need to reappear in",backlog_query,student,,"A subject with grade RA (grade point 0, total below 50) counts as a backlog. I can tell you how many backlogs you currently have and which subjects they are in — this also affects placement eligibility, since most recruiters allow zero or at most one backlog."
staff for Cloud Computing,faculty_directory,student,subject=Cloud Computing,"I can look up faculty by name or subject and give you their designation, department, the subjects they teach, their email and office location."
"sir, when is the fee due date",fees_due_date,parent,,Your fee record carries a due date and a late fine amount. If payment goes past the due date the late fine applies. I can tell you the due date on your record; it is also shown on the Fees page.
is my hall ticket available,exam_hall_ticket,student,,"The published exam record carries a hall ticket availability date. Once that date arrives, the hall ticket becomes available on the Exam page. Hall tickets are usually withheld if there is a pending fee balance or an attendance shortage, so clear those first."
last date to submit a request,admission_enquiry,parent,,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
what's the designation of my professor,faculty_directory,student,,"I can look up faculty by name or subject and give you their designation, department, the subjects they teach, their email and office location."
my section is wrong how should i fix it,profile_update,faculty,department=IT,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
"hi, can i pay in installments",fees_payment,student,,"You record a payment from the Fees page by entering the amount, the mode (Online, DD, Cash or NEFT) and the transaction reference. That creates an entry in your payment history which the Accounts Office then verifies. The portal records payments — it does not process them through a payment gateway."
"good morning, list books in the computer science category",library_search,student,,"I can search the library catalogue by title, author or category and tell you whether a copy is Available, Borrowed or Reserved, along with the number of copies. Browse the full catalogue on the Library page."
"excuse me, what services do you provide",bot_capabilities,admin,,"I'm the Campus HelpDesk assistant. I can answer questions about attendance, marks, CGPA and backlogs, timetable, exam schedules and hall tickets, fees and payments, leave and OD, certificate requests, library books and hours, notices, events, faculty and HOD contacts, your profile, placement readiness and eligibility, and the college knowledge base. I answer from your own records, so sign in first."
tuition fees amount,fees_balance,student,,"I can show your fee record for the semester — the component-wise breakdown, the total, how much is paid, the outstanding balance, the due date and any late fine. The full statement is on the Fees page."
registration closed,events_register,student,,"You register for an event from the Events page. Seats are capped — if the cap is reached you'll be told the event is full, and you can't register twice for the same event. You can also unregister if you change your mind."
set the hall tcket date,admin_publish_exam,admin,,"You create an exam record for a semester and academic year with theory dates, the paper-by-paper schedule, practicals, a hall ticket availability date and instructions. Students see it only after you publish it, and you can archive it later."
can you buy something online,fallback_unsupported,student,payment_mode=Online,"I couldn't match that to anything the portal handles. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts, your profile and placements. For anything else, the Contact page will reach the right office and you'll get a reply within 1-2 working days."
does the libary open on saturday,library_hours,visitor,day=Saturday,The library is open Monday to Friday from 8:00 AM to 6:00 PM and on Saturday from 9:00 AM to 4:00 PM. It is closed on Sundays and holidays.
"hi, am i doing well",performance_summary,student,,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
show my exam marks,marks_view,student,,"I can show your internal marks (out of 40), external marks (out of 60) and the total out of 100 for each subject, along with the grade. The pass mark is 50. Marks a faculty member has entered stay hidden until they are published. See the Results page for the full mark sheet."
tell me my classes today,timetable_today,student,,"I can show today's class schedule for your department, semester and section from the published timetable, including the period slots and subjects. Open the Timetable page for the day view."
"i wanted to ask, visitor information",visitor_campus_info,visitor,,"I mainly serve signed-in students, faculty and staff. For general enquiries — visiting the campus, meeting a department or reaching an office — you can use the Contact page to message the Admin Office, and the library is open Monday to Friday 8:00 AM to 6:00 PM and Saturday 9:00 AM to 4:00 PM."
"madam, translate this to tamil",fallback_unsupported,student,,"I couldn't match that to anything the portal handles. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts, your profile and placements. For anything else, the Contact page will reach the right office and you'll get a reply within 1-2 working days."
can i mark attendance for a past date,faculty_mark_attendance,faculty,,"From the faculty portal you can mark attendance for a class you are assigned to — choosing the subject, date and section, and setting each student to Present, Absent or Late. You can also do it in bulk for the whole class."
"actually, update my personal information",profile_update,student,leave_type=Personal Leave,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
my deails,profile_view,student,,"Your profile holds your name, student ID, email, department, year, semester, section, phone, photo and your parent/guardian details. You can view it all on the Profile page."
departments in this college,departments_list,parent,,"The college has departments including Information Technology, Computer Science and Engineering, Artificial Intelligence and Machine Learning, Artificial Intelligence and Data Science, Bioinformatics, Electronics and Communication, Electrical and Electronics, Mechanical and Civil Engineering."
when is my book due,library_borrowed,faculty,,"I can list the books you currently have on loan with their borrowed date, due date and status — Active, Returned or Overdue. Your loans are shown on the Library page."
how do i enter grades,faculty_enter_marks,faculty,,You enter internal marks (out of 40) and external marks (out of 60) for your assigned subjects; the grade and grade point are computed automatically. Marks stay hidden from students until you publish them.
save a notice as draft,admin_publish_notice,admin,,"You create a notice with a title, content, category and audience. It can be saved as a draft, published, pinned to the top, given an expiry date, or archived. The summarizer generates a summary, key dates, action items and a priority for it."
who handles scholarsips,scholarship_info,student,,"Scholarship information is available from the college knowledge base documents. There is no scholarship application module in the portal — I can share what the uploaded scholarship documents say, and applications are handled by the Admin Office. Note that a Bonafide Certificate for a scholarship application can be requested from the Requests page."
when does the sem start,academic_calendar,faculty,,"The academic calendar lists holidays, exam windows, deadlines, semester boundaries and events with their dates. I can tell you what is coming up; the full calendar is on the Calendar page."
mark a certificat ready for collection,admin_process_requests,admin,,"Document requests come in as Submitted and you move them through Under Review, Processing, Ready for Collection and Completed, or Reject them with remarks. Each has a unique reference number and the student is notified of the change."
"i wanted to ask, what categories can i file a document under",admin_knowledge_manage,admin,,"You manage the knowledge base from the admin portal — adding regulations, handbooks, academic rules, placement policy, faculty info and FAQs under categories including Admissions, Attendance, Marks, Exams, Fees, Placements, Faculty, Hostel, Transport and Scholarships. Published documents become answerable by the assistant."
i want to take leave,leave_apply,student,,"You apply for leave from the Leave page by choosing the type — Medical Leave, Personal Leave, Emergency Leave or Family Function — with the from and to dates, a reason, and an optional supporting document. The to date cannot be earlier than the from date. It is submitted as Pending for approval."
receipt history,fees_history,parent,,"Your fee record keeps a payment history — each entry has the date, description, amount, mode, transaction reference and whether it has been verified. You can view the full history on the Fees page."
what document do i require for od,od_request,student,leave_type=On Duty (OD) – Event,"On Duty is applied for as a leave type — either On Duty (OD) – Event or On Duty (OD) – Training — from the OD page, with dates, a reason and a supporting document. Approved OD is recorded against your leave record."
"also, low attendance",attendance_shortage,student,,"I compare your attendance against the 75% minimum and flag any subject you have fallen short in. Below 75% is high risk, 75-85% is medium and above 85% is low risk. If you are short, the Attendance page shows how many sessions you need to recover, and you should raise it with your class advisor."
which companies come for placement,placement_companies,student,,"The placement catalogue covers recruiters including TCS, Wipro, Capgemini, Infosys, Cognizant, Accenture, Zoho, Freshworks, Amazon and Microsoft, with the role, sector, CTC and eligibility gates for each. I can also rank the best matches for your profile."
is my leave approved,leave_status,student,,"Every leave application is Pending until it is approved or rejected, and the approver can add remarks. I can tell you the current status of your applications; the list is on the Leave page."
what is the ctc for Capgemini,placement_companies,parent,company=Capgemini,"The placement catalogue covers recruiters including TCS, Wipro, Capgemini, Infosys, Cognizant, Accenture, Zoho, Freshworks, Amazon and Microsoft, with the role, sector, CTC and eligibility gates for each. I can also rank the best matches for your profile."
what's my cgpa out of 10,cgpa_query,student,,"I calculate your CGPA as the credit-weighted average of your grade points across all recorded subjects, on the Anna University 10-point scale (O=10, A+=9, A=8, B+=7, B=6, RA=0). Your CGPA and semester-wise GPA are on the CGPA page."
is it possible to renew my library book,library_renew,faculty,department=IT;office=Library,You can request a renewal for a borrowed book from the Library page. The system records the request and the librarian confirms it within 24 hours.
how am i doing in Software Engineering attendance,attendance_subject_wise,student,subject=Software Engineering,"I can break your attendance down subject by subject and show which subject is lowest, since the 75% rule applies per subject. The subject-wise table is on the Attendance page."
apply leave for tomorrow,leave_apply,student,,"You apply for leave from the Leave page by choosing the type — Medical Leave, Personal Leave, Emergency Leave or Family Function — with the from and to dates, a reason, and an optional supporting document. The to date cannot be earlier than the from date. It is submitted as Pending for approval."
can i see my child's cgpa,parent_ward_progress,parent,,"The portal does not have a separate parent login — your ward's attendance, marks, CGPA and fee status are visible when they sign in to their own student account. Your contact details are held on their record. For anything you'd like to raise directly, use the Contact page to reach the Admin Office, the Accounts Office or the HOD, who reply within 1-2 working days."
till what time is the libary open,library_hours,visitor,,The library is open Monday to Friday from 8:00 AM to 6:00 PM and on Saturday from 9:00 AM to 4:00 PM. It is closed on Sundays and holidays.
reactivate a rejecetd student,admin_approve_students,admin,skill=React,"New self-registrations arrive as Pending in the admin portal. You can approve them, which lets the student log in, or reject them with a reason. Every decision is recorded with your name and the timestamp."
is hostel accommodation available,hostel_info,parent,,"Hostel information is available only through the college knowledge base documents. There is no hostel booking or room allocation module in the portal — I can share what the uploaded hostel documents say, and for anything else you should contact the Admin Office or Student Welfare."
quick question - what was my last payment amount,fees_history,student,,"Your fee record keeps a payment history — each entry has the date, description, amount, mode, transaction reference and whether it has been verified. You can view the full history on the Fees page."
can i get financial aid,scholarship_info,parent,,"Scholarship information is available from the college knowledge base documents. There is no scholarship application module in the portal — I can share what the uploaded scholarship documents say, and applications are handled by the Admin Office. Note that a Bonafide Certificate for a scholarship application can be requested from the Requests page."
accuont suspended,account_status,faculty,,"An account can be pending approval, approved, rejected with a reason, or deactivated. If your account has been rejected or deactivated you'll see the reason at login — contact the Admin Office to have it reviewed."
is there an ai and data science branch,departments_list,student,,"The college has departments including Information Technology, Computer Science and Engineering, Artificial Intelligence and Machine Learning, Artificial Intelligence and Data Science, Bioinformatics, Electronics and Communication, Electrical and Electronics, Mechanical and Civil Engineering."
what is my registered phone nunber,profile_view,student,,"Your profile holds your name, student ID, email, department, year, semester, section, phone, photo and your parent/guardian details. You can view it all on the Profile page."
is the library open on sunady,library_hours,student,office=Library,The library is open Monday to Friday from 8:00 AM to 6:00 PM and on Saturday from 9:00 AM to 4:00 PM. It is closed on Sundays and holidays.
how do i request a bonafide certificate,certificate_request,student,certificate_type=Bonafide Certificate,"You can request a Bonafide Certificate, Transfer Certificate, Migration Certificate, Conduct Certificate, Provisional Certificate, a Marksheet or another document from the Requests page, stating the purpose and an urgency of Normal, Urgent or Emergency. Each request gets a unique reference number."
how is my claass performing,faculty_analytics,faculty,,"The faculty analytics view summarises your classes — attendance trends, mark distributions and how your students are performing across the subjects you handle."
top performers in my class,faculty_analytics,faculty,,"The faculty analytics view summarises your classes — attendance trends, mark distributions and how your students are performing across the subjects you handle."
show general announcements,notice_search,student,,"Notices are categorised as exam, fee, general, urgent or holiday. I can find notices in a category or matching a topic, and give you the summary, key dates and action items from it."
thakns for the help,thanks_goodbye,student,,"You're welcome! Come back any time you need help with attendance, fees, exams, certificates or anything else on the portal."
i want to see my attendance record,attendance_check,student,,"I can show your overall attendance percentage, calculated across every session recorded for you (Late is counted as present). The college requires a minimum of 75% per subject. Full details are on the Attendance page of your student portal."
can the admin reset my passwrd,password_reset,admin,,"There is no self-service password reset in the portal. If you are locked out, contact the college Admin Office and they will reset it for you. If you are already signed in, you can change your password yourself from the Settings page."
can outsiders use the library,visitor_campus_info,visitor,office=Library,"I mainly serve signed-in students, faculty and staff. For general enquiries — visiting the campus, meeting a department or reaching an office — you can use the Contact page to message the Admin Office, and the library is open Monday to Friday 8:00 AM to 6:00 PM and Saturday 9:00 AM to 4:00 PM."
"sir, how do i categorize my material",faculty_materials_upload,faculty,,"You can upload study materials — notes, question banks or reference files — against a subject, department, semester and section, and your students can then download them from their Coursework page."
"hey, what is holding back my placement readiness",placement_readiness,student,,"Your placement readiness score weights Academics (CGPA) 40%, Technical Skills 25%, Attendance 20% and Projects 15%, and comes with a risk level. I can show the breakdown and what to strengthen first."
i am attending an inter college event can i get od,od_request,student,leave_type=On Duty (OD) – Event,"On Duty is applied for as a leave type — either On Duty (OD) – Event or On Duty (OD) – Training — from the OD page, with dates, a reason and a supporting document. Approved OD is recorded against your leave record."
"excuse me, what skills does Microsoft screen for",placement_skills,student,company=Microsoft,"I compare the skills on your profile against the skills recruiters screen for, grouped as Programming, CS Fundamentals, Web & Cloud, and Aptitude & Soft skills, and show your coverage plus the gaps to close."
"hi, draft timetable",admin_manage_timetable,admin,,"You build a timetable per department, semester, section and academic year, with the period slots and the subject in each. It starts as a draft, can be checked for clashes, then published so students and faculty see it, and archived when superseded."
my grade point average trend,cgpa_query,student,,"I calculate your CGPA as the credit-weighted average of your grade points across all recorded subjects, on the Anna University 10-point scale (O=10, A+=9, A=8, B+=7, B=6, RA=0). Your CGPA and semester-wise GPA are on the CGPA page."
quick question - receipt not generated,fees_verification,student,,"Every payment you record starts as unverified. The Accounts Office checks it against the bank record and marks it verified, after which your balance reflects it. If a payment has been sitting unverified, contact the Accounts Office through the Contact page."
what technical skills do i need,placement_skills,student,event_category=Technical,"I compare the skills on your profile against the skills recruiters screen for, grouped as Programming, CS Fundamentals, Web & Cloud, and Aptitude & Soft skills, and show your coverage plus the gaps to close."
clqss performance summary,faculty_analytics,faculty,,"The faculty analytics view summarises your classes — attendance trends, mark distributions and how your students are performing across the subjects you handle."
Wednesday timetable,timetable_weekly,student,day=Wednesday,"I can show your full published weekly timetable for your department, semester and section, with the period slots and the subject in each. Draft timetables are not visible until an admin publishes them."
what details are needed for leave,leave_apply,student,,"You apply for leave from the Leave page by choosing the type — Medical Leave, Personal Leave, Emergency Leave or Family Function — with the from and to dates, a reason, and an optional supporting document. The to date cannot be earlier than the from date. It is submitted as Pending for approval."
"actually, timetable clash detection",admin_manage_timetable,admin,,"You build a timetable per department, semester, section and academic year, with the period slots and the subject in each. It starts as a draft, can be checked for clashes, then published so students and faculty see it, and archived when superseded."
can you call someone for me,fallback_unsupported,student,,"I couldn't match that to anything the portal handles. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts, your profile and placements. For anything else, the Contact page will reach the right office and you'll get a reply within 1-2 working days."
may i still register,events_register,student,month=May,"You register for an event from the Events page. Seats are capped — if the cap is reached you'll be told the event is full, and you can't register twice for the same event. You can also unregister if you change your mind."
let me see my pending requests,request_status,alumni,,"Your document request moves through Submitted, Under Review, Processing, Ready for Collection and then Completed — or Rejected, with remarks. Track it by its reference number on the Status page."
scores entry for DBMS,faculty_enter_marks,faculty,skill=DBMS;subject=DBMS,You enter internal marks (out of 40) and external marks (out of 60) for your assigned subjects; the grade and grade point are computed automatically. Marks stay hidden from students until you publish them.
"hi there, mark distribution for my subject",faculty_analytics,faculty,,"The faculty analytics view summarises your classes — attendance trends, mark distributions and how your students are performing across the subjects you handle."
"please tell me, who handles scholarships",scholarship_info,student,,"Scholarship information is available from the college knowledge base documents. There is no scholarship application module in the portal — I can share what the uploaded scholarship documents say, and applications are handled by the Admin Office. Note that a Bonafide Certificate for a scholarship application can be requested from the Requests page."
how do i apply for hostal,hostel_info,student,,"Hostel information is available only through the college knowledge base documents. There is no hostel booking or room allocation module in the portal — I can share what the uploaded hostel documents say, and for anything else you should contact the Admin Office or Student Welfare."
from where do i upload student marks,faculty_enter_marks,faculty,,You enter internal marks (out of 40) and external marks (out of 60) for your assigned subjects; the grade and grade point are computed automatically. Marks stay hidden from students until you publish them.
"kindly let me know, hostel vacancy",hostel_info,student,,"Hostel information is available only through the college knowledge base documents. There is no hostel booking or room allocation module in the portal — I can share what the uploaded hostel documents say, and for anything else you should contact the Admin Office or Student Welfare."
am i on track,performance_summary,student,,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
i need a transfer certificate,certificate_request,student,certificate_type=Transfer Certificate,"You can request a Bonafide Certificate, Transfer Certificate, Migration Certificate, Conduct Certificate, Provisional Certificate, a Marksheet or another document from the Requests page, stating the purpose and an urgency of Normal, Urgent or Emergency. Each request gets a unique reference number."
my account was rejected,account_status,student,,"An account can be pending approval, approved, rejected with a reason, or deactivated. If your account has been rejected or deactivated you'll see the reason at login — contact the Admin Office to have it reviewed."
maximum marks for homework,faculty_assignments_manage,faculty,,"You can create assignments with a title, subject, due date and maximum marks, view the submissions from your students, download what they attached, and grade each submission with marks and remarks."
